probe,joint_id,joint,num_gaussians,displacement_sum,fraction_of_outside_pct,mean_confidence
ankle_z,4,left_knee,46254,67.655792,78.075714,0.841816
ankle_z,5,right_knee,40570,4.185397,4.830006,0.855541
ankle_z,8,right_ankle,12236,3.056178,3.526872,0.702755
ankle_z,12,neck,11277,2.193547,2.531384,0.641504
ankle_z,15,head,45996,1.639920,1.892490,0.954054
ankle_z,0,pelvis,43215,1.404886,1.621258,0.769130
ankle_z,1,left_hip,30216,1.402028,1.617959,0.827728
ankle_z,2,right_hip,42818,1.048348,1.209808,0.842506
ankle_z,3,spine1,30850,0.960973,1.108976,0.618451
ankle_z,6,spine2,19248,0.671788,0.775253,0.644911
ankle_z,9,spine3,23643,0.654456,0.755251,0.770273
ankle_z,21,right_wrist,7423,0.460214,0.531093,0.834001
wrist_z,18,left_elbow,15240,9.506598,39.567860,0.885936
wrist_z,21,right_wrist,7423,2.895831,12.052874,0.834001
wrist_z,16,left_shoulder,18530,2.704737,11.257513,0.888574
wrist_z,19,right_elbow,24696,2.386888,9.934577,0.870454
wrist_z,17,right_shoulder,19301,2.190391,9.116731,0.871330
wrist_z,23,right_hand,3667,1.340096,5.577676,0.882962
wrist_z,4,left_knee,46254,0.830262,3.455671,0.841816
wrist_z,7,left_ankle,13369,0.541890,2.255425,0.698074
wrist_z,13,left_collar,3360,0.473704,1.971625,0.768509
wrist_z,9,spine3,23643,0.440391,1.832971,0.770273
wrist_z,0,pelvis,43215,0.148913,0.619796,0.769130
wrist_z,12,neck,11277,0.121212,0.504504,0.641504
shoulder_z,13,left_collar,3360,4.393711,21.483507,0.768509
shoulder_z,9,spine3,23643,4.155280,20.317675,0.770273
shoulder_z,19,right_elbow,24696,2.888640,14.124306,0.870454
shoulder_z,21,right_wrist,7423,2.281814,11.157166,0.834001
shoulder_z,4,left_knee,46254,1.610258,7.873526,0.841816
shoulder_z,17,right_shoulder,19301,1.573706,7.694799,0.871330
shoulder_z,23,right_hand,3667,1.035176,5.061599,0.882962
shoulder_z,7,left_ankle,13369,0.692875,3.387882,0.698074
shoulder_z,0,pelvis,43215,0.452746,2.213748,0.769130
shoulder_z,1,left_hip,30216,0.356411,1.742708,0.827728
shoulder_z,6,spine2,19248,0.323916,1.583819,0.644911
shoulder_z,12,neck,11277,0.229997,1.124595,0.641504
