joint,axis,conf_ge_0_0,conf_ge_0_5,conf_ge_0_7,conf_ge_0_8,conf_ge_0_9
left_ankle,z,26.566210,26.242514,29.171045,29.556362,25.487848
left_ankle,x,18.185940,17.892016,21.610597,22.596169,19.233191
left_wrist,z,11.210049,11.141078,11.040419,10.757682,12.265873
left_ankle,y,10.718896,10.297257,11.599473,11.867752,9.224316
left_wrist,y,10.269784,10.228955,10.081407,9.816343,11.161535
left_wrist,x,9.897868,9.817633,8.462298,7.380524,6.129235
left_knee,y,8.386650,8.164920,7.125646,5.345972,4.118105
left_elbow,z,3.052041,3.033680,2.754966,2.486372,2.438808
left_elbow,x,2.598831,2.578485,2.186542,1.880220,1.841905
left_knee,z,2.527983,2.504947,2.595381,2.165365,1.904372
left_elbow,y,2.526255,2.514733,2.275922,2.027508,2.015577
left_knee,x,2.283676,2.266179,2.361985,2.007631,1.797382
left_shoulder,x,0.905295,0.863700,0.645588,0.507920,0.413513
left_shoulder,y,0.660691,0.635200,0.458083,0.355744,0.288772
left_shoulder,z,0.578688,0.552244,0.407419,0.316463,0.252399
