joint_id,joint,num_gaussians,fraction_pct
0,pelvis,43215,9.137175
1,left_hip,30216,6.388728
2,right_hip,42818,9.053235
3,spine1,30850,6.522778
4,left_knee,46254,9.779727
5,right_knee,40570,8.577929
6,spine2,19248,4.069706
7,left_ankle,13369,2.826678
8,right_ankle,12236,2.587122
9,spine3,23643,4.998964
10,left_foot,3361,0.710634
11,right_foot,3221,0.681033
12,neck,11277,2.384355
13,left_collar,3360,0.710422
14,right_collar,5642,1.192918
15,head,45996,9.725176
16,left_shoulder,18530,3.917895
17,right_shoulder,19301,4.080912
18,left_elbow,15240,3.222273
19,right_elbow,24696,5.221605
20,left_wrist,6501,1.374541
21,right_wrist,7423,1.569484
22,left_hand,2324,0.491376
23,right_hand,3667,0.775333
