joint,axis,leakage_ratio,target_mean,outside_mean,outside_p99,outside_max,num_target,leakage_pct
left_ankle,z,0.265662,0.014321,0.000190,0.004731,0.442028,16730,26.566210
left_ankle,x,0.181859,0.023556,0.000192,0.004858,0.377936,16730,18.185940
left_wrist,z,0.112100,0.021561,0.000052,0.001291,0.036199,8825,11.210049
left_ankle,y,0.107189,0.020328,0.000089,0.002792,0.229624,16730,10.718896
left_wrist,y,0.102698,0.022988,0.000050,0.001285,0.036621,8825,10.269784
left_wrist,x,0.098979,0.009780,0.000020,0.000350,0.029225,8825,9.897868
left_knee,y,0.083867,0.014051,0.000198,0.005646,0.218718,62984,8.386650
left_elbow,z,0.030520,0.042939,0.000072,0.001958,0.027016,24065,3.052041
left_elbow,x,0.025988,0.039038,0.000056,0.001265,0.027707,24065,2.598831
left_knee,z,0.025280,0.082265,0.000328,0.006907,0.349888,62984,2.527983
left_elbow,y,0.025263,0.059189,0.000082,0.002067,0.027601,24065,2.526255
left_knee,x,0.022837,0.082641,0.000297,0.006171,0.279244,62984,2.283676
left_shoulder,x,0.009053,0.057910,0.000052,0.001173,0.038589,42595,0.905295
left_shoulder,y,0.006607,0.064406,0.000042,0.000919,0.087770,42595,0.660691
left_shoulder,z,0.005787,0.082392,0.000047,0.001051,0.095469,42595,0.578688
