probe,top_fraction_pct,num_gaussians,share_of_outside_displacement_pct
ankle_z,0.1,457,6.235400
ankle_z,1.0,4563,32.654266
ankle_z,5.0,22812,82.689064
ankle_z,10.0,45623,93.488350
ankle_z,25.0,114057,99.145065
ankle_z,50.0,228114,99.936798
wrist_z,0.1,465,9.871260
wrist_z,1.0,4642,44.714577
wrist_z,5.0,23207,83.753387
wrist_z,10.0,46414,94.779724
wrist_z,25.0,116034,99.698120
wrist_z,50.0,232067,100.000015
shoulder_z,0.1,431,13.417517
shoulder_z,1.0,4304,50.531204
shoulder_z,5.0,21519,85.442047
shoulder_z,10.0,43037,94.458542
shoulder_z,25.0,107591,99.459038
shoulder_z,50.0,215182,99.993202
