probe,joint_id,joint,num_gaussians,displacement_sum,fraction_of_high_conf_outside_pct
ankle_z,4,left_knee,21971,18.967422,86.726486
ankle_z,5,right_knee,20437,1.252821,5.728386
ankle_z,15,head,39290,0.720903,3.296253
ankle_z,1,left_hip,15200,0.216161,0.988374
ankle_z,21,right_wrist,3158,0.174778,0.799153
ankle_z,8,right_ankle,1950,0.124926,0.571211
ankle_z,2,right_hip,22857,0.078716,0.359918
ankle_z,23,right_hand,2134,0.057939,0.264919
ankle_z,0,pelvis,6962,0.052880,0.241786
ankle_z,20,left_wrist,2577,0.052147,0.238436
ankle_z,19,right_elbow,15107,0.048879,0.223494
ankle_z,14,right_collar,469,0.027987,0.127967
wrist_z,18,left_elbow,9667,3.964252,39.039997
wrist_z,17,right_shoulder,12204,1.635179,16.103268
wrist_z,16,left_shoulder,12347,1.540965,15.175443
wrist_z,19,right_elbow,15107,0.892295,8.787333
wrist_z,23,right_hand,2134,0.866202,8.530368
wrist_z,21,right_wrist,3158,0.768716,7.570320
wrist_z,4,left_knee,21971,0.289020,2.846271
wrist_z,15,head,39290,0.061914,0.609733
wrist_z,9,spine3,7069,0.060522,0.596024
wrist_z,13,left_collar,622,0.031444,0.309663
wrist_z,7,left_ankle,1703,0.013634,0.134270
wrist_z,1,left_hip,15200,0.009386,0.092429
shoulder_z,17,right_shoulder,12204,1.124949,23.008492
shoulder_z,19,right_elbow,15107,1.116347,22.832546
shoulder_z,23,right_hand,2134,0.671317,13.730384
shoulder_z,4,left_knee,21971,0.593659,12.142062
shoulder_z,21,right_wrist,3158,0.592039,12.108925
shoulder_z,13,left_collar,622,0.472720,9.668506
shoulder_z,9,spine3,7069,0.142282,2.910090
shoulder_z,1,left_hip,15200,0.074584,1.525468
shoulder_z,15,head,39290,0.049598,1.014427
shoulder_z,7,left_ankle,1703,0.016086,0.328996
shoulder_z,0,pelvis,6962,0.015110,0.309038
shoulder_z,2,right_hip,22857,0.006189,0.126589
