angle,joint_id,joint,num_gaussians,displacement_sum,fraction_of_hc_outside_pct
-10deg,5,right_knee,20437,1.252553,46.633572
-10deg,15,head,39290,0.720579,26.827728
-10deg,21,right_wrist,3158,0.174632,6.501693
-10deg,8,right_ankle,1950,0.124918,4.650811
-10deg,2,right_hip,22857,0.078755,2.932111
-10deg,23,right_hand,2134,0.057899,2.155612
-10deg,0,pelvis,6962,0.052807,1.966053
-10deg,20,left_wrist,2577,0.052130,1.940835
-10deg,19,right_elbow,15107,0.048847,1.818632
-10deg,14,right_collar,469,0.027957,1.040844
-10deg,16,left_shoulder,12347,0.024362,0.907030
-10deg,18,left_elbow,9667,0.017970,0.669045
-10deg,22,left_hand,669,0.016501,0.614351
-10deg,11,right_foot,660,0.013785,0.513222
-10deg,9,spine3,7069,0.013492,0.502325
-10deg,17,right_shoulder,12204,0.007870,0.293023
-10deg,13,left_collar,622,0.000890,0.033132
+10deg,5,right_knee,20437,1.252821,46.628540
+10deg,15,head,39290,0.720903,26.831194
+10deg,21,right_wrist,3158,0.174778,6.505035
+10deg,8,right_ankle,1950,0.124926,4.649602
+10deg,2,right_hip,22857,0.078716,2.929700
+10deg,23,right_hand,2134,0.057939,2.156417
+10deg,0,pelvis,6962,0.052880,1.968119
+10deg,20,left_wrist,2577,0.052147,1.940844
+10deg,19,right_elbow,15107,0.048879,1.819223
+10deg,14,right_collar,469,0.027987,1.041636
+10deg,16,left_shoulder,12347,0.024374,0.907174
+10deg,18,left_elbow,9667,0.017923,0.667086
+10deg,22,left_hand,669,0.016500,0.614102
+10deg,11,right_foot,660,0.013784,0.513017
+10deg,9,spine3,7069,0.013484,0.501858
+10deg,17,right_shoulder,12204,0.007883,0.293409
+10deg,13,left_collar,622,0.000888,0.033034
