probe,degrees,abs_degrees,num_high_conf_target,num_high_conf_outside,target_displacement_sum,outside_displacement_sum,high_conf_leakage_pct,upstream_share_of_outside_pct,contralateral_share_of_outside_pct
ankle_z,-10.0,10.0,2428,195350,63.801224,21.864815,25.523317,87.957184,6.723182
ankle_z,10.0,10.0,2428,195350,64.056320,21.870392,25.452377,87.956635,6.722540
shoulder_z,-10.0,10.0,25260,172518,1932.828857,4.878920,0.251788,12.932383,71.774467
shoulder_z,10.0,10.0,25260,172518,1927.554932,4.889279,0.253010,12.887632,71.768806
wrist_z,-30.0,30.0,3246,194532,215.700623,30.145681,12.262003,54.523022,41.012859
wrist_z,-20.0,20.0,3246,194532,144.711731,20.226786,12.263227,54.523098,41.011284
wrist_z,-10.0,10.0,3246,194532,72.629288,10.153541,12.265274,54.519363,41.009369
wrist_z,-5.0,5.0,3246,194532,36.348843,5.082754,12.267821,54.509907,41.007671
wrist_z,5.0,5.0,3246,194532,36.348190,5.082950,12.268429,54.513325,41.005699
wrist_z,10.0,10.0,3246,194532,72.626862,10.154333,12.266473,54.525097,41.006668
wrist_z,20.0,20.0,3246,194532,144.700058,20.230932,12.266302,54.531708,41.007019
wrist_z,30.0,30.0,3246,194532,215.674805,30.155195,12.266686,54.535351,41.006847
