degrees,joint_id,joint,num_vertices,displacement_sum,fraction_of_hc_nonlocal_pct
-10.0,15,head,1104,0.205000,35.105301
-10.0,23,right_hand,389,0.083235,14.253700
-10.0,21,right_wrist,155,0.046048,7.885452
-10.0,19,right_elbow,128,0.038884,6.658758
-10.0,17,right_shoulder,128,0.036752,6.293571
-10.0,4,left_knee,101,0.028563,4.891233
-10.0,2,right_hip,101,0.026483,4.535172
-10.0,0,pelvis,93,0.026231,4.492023
-10.0,9,spine3,65,0.022378,3.832167
-10.0,1,left_hip,100,0.022019,3.770594
-10.0,11,right_foot,81,0.014478,2.479302
-10.0,5,right_knee,101,0.012059,2.065061
10.0,15,head,1104,0.204204,35.799660
10.0,23,right_hand,389,0.077254,13.543724
10.0,21,right_wrist,155,0.048046,8.423159
10.0,19,right_elbow,128,0.042417,7.436238
10.0,17,right_shoulder,128,0.036261,6.357002
10.0,4,left_knee,101,0.026252,4.602322
10.0,0,pelvis,93,0.024304,4.260890
10.0,2,right_hip,101,0.024231,4.248048
10.0,9,spine3,65,0.021703,3.804752
10.0,1,left_hip,100,0.020174,3.536709
10.0,11,right_foot,81,0.013461,2.359901
10.0,5,right_knee,101,0.012702,2.226793
