metric,value
num_gaussians,614157
k6_target_valid,true
k6_max_row_sum_error,2.384185791015625e-07
knn_nearest_exact_fraction,1.0
knn_set_match_fraction,1.0
sample_effective_lbs_max_abs,1.7881393432617188e-07
num_high_confidence,292095
high_confidence_fraction,0.47560314382153096
num_intended,2946
num_local_chain,33764
num_nonlocal,255385
num_contralateral,77622
dominant_joint_agreement_overall,0.9888562696509199
dominant_joint_agreement_k6_hc,0.9999315291257981
mean_learned_vs_k6_l1_overall,0.04606512561440468
mean_learned_vs_k6_l1_k6_hc,0.024579234421253204
contra_k6_wrist_hand_mean,2.161917080911735e-07
contra_learned_wrist_hand_mean,8.741816418478265e-05
contra_learned_to_k6_mean_ratio,404.3548430077448
contra_k6_wrist_hand_max,0.00014079449465498328
contra_learned_wrist_hand_max,0.248804971575737
