metric,value
num_gaussians,311723
k6_target_valid,true
k6_max_row_sum_error,2.384185791015625e-07
knn_nearest_exact_fraction,1.0
knn_set_match_fraction,1.0
num_high_confidence,148392
num_intended,791
num_local_chain,22317
num_nonlocal,125284
num_contralateral,20887
dominant_joint_agreement_overall,0.9710865094972139
dominant_joint_agreement_k6_hc,0.9999258720146639
contra_k6_wrist_hand_mean,2.763716224762902e-07
contra_learned_wrist_hand_mean,0.00020052377658430487
learned_k6_contra_mean_ratio,725.5584881964779
contra_k6_wrist_hand_max,0.00014079449465498328
contra_learned_wrist_hand_max,0.02658037841320038
fraction_learned_wrist_hand_gt_1e-3,0.02848661847081917
fraction_learned_wrist_hand_gt_1e-2,0.00014363000909656725
fraction_k6_wrist_hand_gt_1e-3,0.0
