raw_frame,scale,learned_contralateral,k6_contralateral,ablated_contralateral,learned_contralateral_pct_hc,k6_reduction_vs_learned_pct,ablation_reduction_vs_learned_pct,fraction_contralateral_points_reduced,removed_mass_vs_reduction_corr
2,1.644242,1.2177642583847046,0.0021828871686011553,0.0,8.383360146043923,99.82074632642802,100.0,0.9855412457509456,0.9901018350101268
7,1.586672,1.1347169876098633,0.002058264333754778,0.0,8.673447072624047,99.81860989513427,100.0,0.986212,0.9899109845297344
12,1.561742,1.1689742803573608,0.002111082896590233,0.0,8.473654046244992,99.81940724171066,100.0,0.983961,0.9900119837509495
17,1.585761,1.1881874799728394,0.00215568533167243,0.0,8.503880959783332,99.81857363690436,100.0,0.987456,0.9899866587346452
22,1.587224,1.1879805326461792,0.0021480622235685587,0.0,8.458822881919197,99.8191837185426,100.0,0.990233,0.9900447746583882
27,1.572301,1.1510026454925537,0.0020738865714520216,0.0,8.362225026304438,99.81981913077493,100.0,0.989371,0.9899441584857317
32,1.483398,1.1079813241958618,0.0020083882845938206,0.0,8.447644644501333,99.81873446413445,100.0,0.990233,0.9900774782370972
37,1.502143,1.1192169189453125,0.0020159624982625246,0.0,8.42014755835351,99.81987741034489,100.0,0.987313,0.9900918826934636
42,1.508519,1.1166753768920898,0.002034683246165514,0.0,8.469230733065881,99.817790981312,100.0,0.984488,0.990005557369269
47,1.508694,1.1104607582092285,0.0019941297359764576,0.0,8.343904716882907,99.8204232143068,100.0,0.980371,0.990126157297178
